NoFilter,,,,,,,,,
Unité : Nombre,,,,,,,,,
"Source : Ministère de l'Enseignement Supérieur , de la Recherche Scientifique",,,,,,,,,
Etudiants diplômés,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Droit,4901,3795,3317,2688,3204,3055,3050,2667,2485
,,,,,,,,,
Sciences sociales et du comportement,4037,3449,2996,2395,2894,3235,3125,3182,2994
Mathématiques et statistiques,1971,1128,876,685,645,727,717,689,611
Sciences informatiques et télécommunications,13749,11525,11960,10728,10251,8966,7903,7492,6515
Sciences de la vie,3536,1963,1898,1815,1898,2070,2264,1993,2033
,,,,,,,,,
,,,,,,,,,
Architecture et bâtiment,1208,1315,1545,1443,1540,1469,1542,1475,1274
Ingénierie et techniques apparentées,8355,7757,8184,7494,8234,8557,8610,7986,7235
,,,,,,,,,
,,,,,,,,,
Santé,4348,4626,4708,4593,4297,3676,3979,3491,3401
